name,location,capacity,rating,reviews,description
Atlanta Botanical Garden,"Atlanta, GA",151-200 Guests,4.7,21,"An urban oasis nestled in the heart of Midtown, offering lush lawns and tropical foliage."
Monday Night Brewing: The Garage,"Metro Atlanta, GA",300+ Guests,4.9,14,A charming private event space with high ceilings and natural light.
Factory Atlanta,"Atlanta, GA",300+ Guests,5.0,6,An industrial-chic venue perfect for creative couples.
Ambient + Studio,"Atlanta, GA",251-300 Guests,4.4,9,A unique wedding venue built in 1910 with historic charm.
Grana,"Atlanta, GA",151-200 Guests,5.0,1,Offers authentic Southern Italian cuisine in a warm setting.
Journeyman's Hall,"Atlanta, GA",151-200 Guests,5.0,3,A wedding venue led by Chef Vincent Marra in South Downtown Atlanta.
Ecco Buckhead,"Atlanta, GA",300+ Guests,5.0,0,An elegant restaurant venue in Buckhead for weddings and events.
Hyatt Regency Atlanta Perimeter at Villa Christina,"Atlanta, GA",300+ Guests,4.6,63,A hotel surrounded by landscaped gardens with outdoor space.
Park Tavern: The Piedmont Room & Piedmont Garden Tent,"Atlanta, GA",251-300 Guests,4.7,132,Overlooks Piedmont Park with indoor and outdoor spaces.
The Kimpton Shane,"Atlanta, GA",51-100 Guests,0.0,0,A boutique hotel with stunning architecture and stylish furnishings.
FORTH Hotel Atlanta,"Atlanta, GA",201-250 Guests,0.0,0,A luxury venue in Old Fourth Ward with an elegant ballroom.
Wahoo! Grill,"Decatur, GA",201-250 Guests,5.0,100,A full-service venue with outstanding staff for weddings.
The White Bull,"Decatur, GA",51-100 Guests,0.0,0,An Italian farm-to-table restaurant with event space.
Emory Conference Center Hotel,"Atlanta, GA",300+ Guests,4.8,41,An elegant venue with unique surroundings near the airport.
Swan Coach House,"Atlanta, GA",101-150 Guests,5.0,7,A historic venue in Buckhead with elegant spaces.
Historic DeKalb Courthouse,"Decatur, GA",101-150 Guests,4.9,92,An elegant courthouse with marble interiors and high ceilings.
The Wimbish House,"Atlanta, GA",201-250 Guests,4.9,85,A Victorian-era home in Midtown for weddings and events.
Callanwolde Fine Arts Center,"Atlanta, GA",151-200 Guests,4.6,38,A unique venue with a century-long legacy in Druid Hills.
SCAD Ivy Hall,"Atlanta, GA",101-150 Guests,4.5,4,A historic wedding venue designed by Gottfried L. Norrman.
Renaissance Atlanta Midtown Hotel,"Midtown Atlanta, GA",300+ Guests,5.0,2,A hotel in the arts district with modern amenities.
Intercontinental Buckhead Atlanta,"Atlanta, GA",300+ Guests,5.0,8,A luxury hotel combining classic charm with modern luxury.
Epicurean Hotel Atlanta,"Atlanta, GA",101-150 Guests,5.0,3,A luxe venue inspired by modern architecture for weddings.
Wrecking Bar Brewpub,"Atlanta, GA",201-250 Guests,5.0,9,A historic mansion with Victorian-era architecture.
Grand Hyatt Atlanta in Buckhead,"Atlanta, GA",300+ Guests,5.0,4,An urban retreat with tenured staff for wedding events.
Waldorf Astoria Atlanta Buckhead,"Atlanta, GA",51-100 Guests,4.9,7,A luxury venue with Southern charm in a prestigious neighborhood.
The Westside Warehouse,"Atlanta, GA",201-250 Guests,5.0,37,A converted warehouse with cathedral ceilings in west-midtown.
42West Entertainment Group,"Atlanta, GA",251-300 Guests,5.0,6,A blend of industrial modernity and refined elegance.
THE TROLLEY BARN,"Atlanta, GA",201-250 Guests,4.2,41,A historic structure with hardwood floors and garden area.
Hotel Colee,"Atlanta, GA",251-300 Guests,0.0,0,An award-winning hotel for celebrations and events.
Omni Atlanta Hotel at Centennial Park,"Atlanta, GA",300+ Guests,5.0,2,"A hotel in downtown Atlanta, perfect for weddings."
Enon Ranch,"Atlanta, GA",251-300 Guests,5,2,"Enon Ranch is a beautiful wedding venue located in Atlanta, GA."
